feat,imp_fold_1_x,imp_fold_2,imp_fold_3,imp_fold_4,imp_fold_5,imp_fold_1_y
seconds_in_bucket,1663,1658,1696,1670,1736,1819
imbalance_size,385,411,386,391,409,367
reference_price,801,818,831,811,856,844
matched_size,910,911,923,942,949,920
far_price,1228,1224,1233,1209,1164,1267
near_price,1240,1175,1250,1236,1252,1172
bid_price,938,946,969,954,899,981
bid_size,250,253,275,266,225,244
ask_price,783,749,701,735,802,813
ask_size,231,298,267,261,265,219
wap,671,694,680,693,653,728
imbalance_to_matched_size,628,638,645,641,609,596
imbalance_flag_to_size,945,959,965,957,947,995
spread,439,416,453,430,474,407
bid_ask_imbalance,181,208,189,175,170,154
liquidity,159,155,156,162,160,162
price_diff_bid_to_wap,368,363,366,315,353,386
price_diff_ask_to_wap,378,360,367,366,359,403
size_diff_bid_to_wap,214,198,196,224,193,195
size_diff_ask_to_wap,225,252,219,215,226,224
wap_velocity,638,621,594,633,618,691
wap_momentum_5,1243,1262,1245,1245,1296,1366
short_term_volatility,4930,4822,4862,4996,5046,5250
price_impact,134,135,180,135,131,147
order_imbalance_ratio,127,122,87,86,104,127
price_skewness,352,354,349,370,380,342
time_decay,521,482,519,475,484,551
wap_acceleration,269,256,244,273,225,264
volatility_rate_of_change,0,0,0,0,0,0
liquidity_ratio_change,150,176,134,150,146,150
order_imbalance_over_time,83,83,87,97,77,72
price_skewness_rate_of_change,315,354,312,314,326,338
avg_wap_by_market,1863,1886,1976,1880,1851,1978
avg_near_price_by_market,1835,1927,1818,1931,1907,1984
avg_matched_size_by_market,2773,2692,2762,2823,2744,2759
avg_imbalance_to_matched_size_by_market,1721,1754,1724,1722,1761,1717
avg_spread_by_market,1203,1226,1156,1187,1123,1215
avg_liquidity_by_market,380,345,398,359,406,347
avg_market_volatility,4021,4167,4219,4088,4080,4392
avg_market_imbalance,795,863,755,778,776,850
avg_market_liquidity,117,67,121,97,88,90
avg_market_price_impact,1545,1526,1562,1483,1502,1538
avg_market_price_skewness,690,679,658,695,681,724
seconds_in_bucket_X_near_price,2640,2638,2597,2663,2737,2913
matched_size_X_near_price,732,696,654,679,722,691
near_price_squared,215,228,232,245,220,258
matched_size_squared,201,157,173,161,203,182
seconds_in_bucket_X_imbalance_flag_to_size,955,863,879,854,854,955
seconds_in_bucket_squared,76,60,98,82,89,98
relative_wap_to_market,1271,1291,1278,1279,1284,1465
relative_near_price_to_market,796,801,811,803,784,846
relative_matched_size_to_market,1139,1138,1144,1126,1102,1116
relative_imbalance_to_matched_size_to_market,570,585,547,546,545,543
relative_spread_to_market,404,429,428,485,434,418
relative_liquidity_to_market,132,120,118,111,120,103
imbalance_size_mean_5,0,0,0,0,0,0
bid_price_mean_5,0,0,0,0,0,0
ask_price_mean_5,0,0,0,0,0,0
relative_wap_to_market_mean_5,0,0,0,0,0,0
wap_momentum_5_mean_5,0,0,0,0,0,0
wap_mean_10,185,202,197,204,197,164
imbalance_size_mean_10,581,572,555,530,589,551
bid_price_mean_10,344,336,332,362,332,317
ask_price_mean_10,337,401,377,383,350,340
relative_wap_to_market_mean_10,565,548,564,586,542,583
wap_momentum_5_mean_10,1155,1090,1127,1071,1083,1169
