feat,t0_imp_fold_1,t0_imp_fold_2,t0_imp_fold_3,t0_imp_fold_4,t0_imp_fold_5,t1_imp_fold_1,t1_imp_fold_2,t1_imp_fold_3,t1_imp_fold_4,t1_imp_fold_5,t2_imp_fold_1,t2_imp_fold_2
stock_id,585.3569984436035,693.4514026641846,0.0,1783.2151489257812,0.0,325.5138988494873,1132.1315956115725,0.0,2177.9925985336304,0.0,241.3493013381958,420.4940996170044
seconds_in_bucket,2772.079971313477,2534.44324874878,2305.972234725952,2157.8259449005127,2115.9197311401367,1229.1350049972534,497.8563985824585,531.5715036392212,1212.0493021011353,666.551197052002,2958.0110039711,2724.6183729171753
imbalance_size,1794.5061082839966,2552.8868656158447,2925.1360788345337,3502.458804130554,3454.681270599365,268.6010980606079,699.2261009216309,1110.0477018356323,1582.3317975997925,1242.7462968826294,1808.148778438568,2962.47505569458
imbalance_buy_sell_flag,469.5261392593384,125.67266941070557,513.9942512512207,585.1783218383789,421.2121915817261,28.382100105285645,55.51729965209961,184.18950080871585,125.17419815063477,186.61999988555908,336.1365785598755,110.31684970855713
reference_price,1952.5733470916748,2188.380789756775,2677.429998397827,2259.96342086792,1768.3975505828855,1030.332406997681,1121.7322025299072,1539.4962015151978,1022.1397914886476,730.408595085144,2330.9282569885254,2602.8921842575073
matched_size,6646.593318939209,5193.452505588532,5713.08026599884,5828.839282035828,5921.991517543793,6150.583302497864,4158.20689868927,4619.741514205933,3933.5184803009033,5316.78839302063,6418.980129241943,5195.786959171295
far_price,1460.7632055282593,2174.331567764282,1963.839098930359,1382.9990968704224,1587.894874572754,308.7076015472412,1282.5606956481934,1163.20259475708,254.6981010437012,371.6259984970093,1876.431920528412,2457.894630432129
near_price,1643.63787651062,1556.3168859481812,1404.36128616333,1842.0999240875244,1860.4401621818545,1217.8900060653689,601.6816024780273,943.6906051635742,1293.6457996368408,854.4792938232422,1769.888011455536,1963.739881515503
bid_price,2405.125950813293,2797.6425857543945,2634.9697341918945,1785.7101469039917,2438.305245399475,684.603099822998,1169.8255004882812,1192.1285972595217,444.88569736480713,856.6023015975952,2768.3396983146667,2876.468530654907
bid_size,17012.961610794067,18466.223775863647,16538.268463134766,15974.07096672058,15853.41410636902,26983.50148010254,29222.02658557892,26028.717535972595,24736.59993171692,24190.050289154053,13600.041758537292,14554.886482715607
ask_price,3032.68510055542,2686.118028640747,2971.5242023468018,2025.2030334472656,2713.3792400360107,1310.8289041519165,1672.348200798035,2180.4493951797485,463.2388982772827,1046.119892120361,3123.370400905609,3134.1336154937744
ask_size,18761.975010871887,17121.45177745819,18571.724472999573,17683.40043735504,16165.527948379517,29091.665279388428,26778.52590084076,28438.05014514923,27616.34909248352,25555.141087532043,14927.426168441772,13601.861894130707
wap,2029.960616111756,2592.611167907715,3206.37557888031,2633.414175987244,1912.4091429710388,996.867706298828,1742.189509391785,2464.4390001297,2503.3757009506226,1194.7186040878296,2191.1894178390503,2357.014657974243
time_id,5714.284927368164,6194.891384124756,6433.470192909241,6002.506896495819,6711.901745796204,2660.113091468811,2281.92280292511,2530.446311950684,2471.638110160828,3334.750609397888,5736.681180000305,6213.862293720245
