feat,t0_imp_fold_1,t0_imp_fold_2,t0_imp_fold_3,t0_imp_fold_4,t0_imp_fold_5,t1_imp_fold_1,t1_imp_fold_2,t1_imp_fold_3,t1_imp_fold_4,t1_imp_fold_5,t2_imp_fold_1,t2_imp_fold_2,t2_imp_fold_3,t2_imp_fold_4,t2_imp_fold_5
stock_id,706.436993598938,480.3800029754639,546.4070014953613,1252.3266954421997,736.756142616272,113.93889808654784,744.954797744751,0.0,1996.504072189331,0.0,1210.31942653656,1134.1449780464172,1577.1643433570862,1419.17205286026,1353.1228203773499
seconds_in_bucket,1777.089111328125,2691.267644882202,2365.515347480774,2010.3555059432983,2109.291114807129,2791.139333724976,2471.546075820923,2084.837345123291,2307.337727546692,1712.285779953003,2126.50324678421,2342.611364841461,2192.545522212982,1895.6274333000183,2217.0852098464966
imbalance_size,1365.2401056289673,2782.763947486877,2889.016001701355,3736.3832969665527,2807.075701713562,1395.1863555908203,2072.952321052552,2535.7261896133423,3571.417659759521,3329.529788970948,1731.5862584114077,2439.4908113479614,2565.088158607483,3367.846438407898,3166.9439191818237
imbalance_buy_sell_flag,339.0034999847412,242.67509937286377,439.5793342590332,535.8266115188599,314.17414951324463,381.38179874420166,176.70296955108645,532.5607004165649,622.7086954116821,399.5762996673584,273.34778213500977,271.34231901168823,478.5624895095825,582.3812303543091,389.9929389953613
reference_price,1680.812907218933,2226.256124973297,2782.715700149536,2538.410580635071,2323.079382896424,1879.3440408706665,2259.9273862838745,2762.349139213562,2019.035195350647,1481.5262002944946,1874.5382986068728,1972.6347994804385,2390.899920463562,2081.057580947876,2010.0625457763672
matched_size,4408.736115455627,4533.079387664795,5391.701972961426,5489.034523963928,5074.686281681061,6846.263137817383,4982.245818138123,5382.117183685303,5054.2016859054565,6360.7165451049805,4327.470002174377,4522.118817806244,4393.121247291565,5057.314908027649,4652.456039905548
far_price,1312.9842414855957,2168.6861457824707,2163.788592338562,2106.8453006744385,1726.445198059082,1352.270170211792,2226.243550300598,2147.510895729065,1382.3970174789429,1503.3340682983398,1508.4342288970947,1821.4680552482605,1997.101448059082,1605.6560611724854,1578.3090019226074
near_price,1292.4945278167725,1696.9659337997437,1750.0893983840942,2014.5210390090945,1744.731812953949,1904.3063287734983,1365.992654800415,1656.368140220642,1907.06840133667,1748.7095861434937,1371.3315525054932,1460.5720882415771,1487.8384099006653,1888.353162765503,1582.9622535705566
bid_price,1780.1943368911743,2550.235779762268,2763.9253311157227,1996.1855010986328,2021.0726823806765,2265.05992603302,3095.5327377319336,2331.692579269409,1730.1099405288696,2745.7358407974243,1836.988139629364,2412.643657207489,2345.258799552917,2097.2733421325684,2103.061324119568
bid_size,9548.030386924744,10741.01388835907,9907.596259117126,9760.588589668274,9207.302408218384,20316.10436439514,22413.743231773376,19956.46481513977,19403.62972259521,19030.82974910736,10871.75410079956,12271.673004627228,10925.656292915344,10658.655549049376,10455.64300251007
ask_price,1933.062595367432,2817.829166412353,2354.8664169311523,2434.440490245819,2060.9623699188232,2626.7807970047,2802.0845108032227,2961.549970626831,1841.202220916748,2415.7582988739014,1857.5410432815552,2782.36763715744,2379.621929168701,1964.762756347656,2102.874089717865
ask_size,10437.723823547363,10224.780935287476,10775.763626098633,10097.93532180786,9576.688329219818,22595.53161048889,20508.243887901303,22122.7563495636,21196.71210956573,19524.98241519928,12057.68202495575,11389.81991672516,12087.607748508452,11452.231676101685,10545.028525352478
wap,1440.7488679885864,2129.9753561019897,3251.75483417511,2346.936676502228,1979.623275756836,2107.002731323242,2342.272129058838,3338.6617183685303,2444.9965953826904,2026.203838348389,1622.436730384827,2088.036180973053,3048.9735136032104,2451.232292175293,2041.5593428611755
time_id,3883.206380844116,5956.397549629211,6336.666565895081,6260.567058563232,5319.687543869019,5874.751243591309,6045.428293228149,6270.106719017029,6153.562627792358,5999.447452545166,4500.868141174316,5651.404211521149,6515.385997772217,6281.7791538238525,6106.750524520874
